"Relative Time (Process)","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes__MIN","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes__MAX"
"58651.822865","21111898112","21111898112","21111898112"
"58681.823782","21111898112","21111898112","21111898112"
"58711.824616","21111898112","21111898112","21111898112"
"58741.825532","21111898112","21111898112","21111898112"
"58771.82622","21111898112","21111898112","21111898112"
"58801.827139","21111898112","21111898112","21111898112"
"58831.827985","21111898112","21111898112","21111898112"
"58861.828788","21111898112","21111898112","21111898112"
"58891.829608","21111898112","21111898112","21111898112"
"58921.830314","21111898112","21111898112","21111898112"
"58951.830987","21111898112","21111898112","21111898112"
"58981.831483","21111898112","21111898112","21111898112"
"59011.831952","21111898112","21111898112","21111898112"
"59041.832582","21111898112","21111898112","21111898112"
"59071.833123","21111898112","21111898112","21111898112"
"59101.83364","21111898112","21111898112","21111898112"
"59131.834243","21111898112","21111898112","21111898112"
"59161.835415","21111898112","21111898112","21111898112"
"59191.835867","21111898112","21111898112","21111898112"
"59221.836372","21111898112","21111898112","21111898112"
"59251.836888","21111898112","21111898112","21111898112"
"59281.837538","21111898112","21111898112","21111898112"
"59311.838097","21111898112","21111898112","21111898112"
"59341.838737","21111898112","21111898112","21111898112"
"59371.839235","21111898112","21111898112","21111898112"
"59401.839711","21111898112","21111898112","21111898112"
"59431.840233","21111898112","21111898112","21111898112"
"59461.840925","21111898112","21111898112","21111898112"
"59491.841454","21111898112","21111898112","21111898112"
"59521.84214","21111898112","21111898112","21111898112"
"59551.842872","21111898112","21111898112","21111898112"
"59581.843734","21111898112","21111898112","21111898112"
"59611.844522","21111898112","21111898112","21111898112"
"59641.845448","21111898112","21111898112","21111898112"
"59671.846204","21111898112","21111898112","21111898112"
"59701.847033","21111898112","21111898112","21111898112"
"59731.847822","21111898112","21111898112","21111898112"
"59761.848632","21111898112","21111898112","21111898112"
"59791.849307","21111898112","21111898112","21111898112"
"59821.849997","21111898112","21111898112","21111898112"
"59851.8507","21111898112","21111898112","21111898112"
"59881.851656","21111898112","21111898112","21111898112"
"59911.852418","21111898112","21111898112","21111898112"
"59941.85337","21111898112","21111898112","21111898112"
"59971.854288","21111898112","21111898112","21111898112"
"60001.855042","21111898112","21111898112","21111898112"
"60031.85576","21111898112","21111898112","21111898112"
"60061.856289","21111898112","21111898112","21111898112"
"60091.856968","21111898112","21111898112","21111898112"
"60121.857785","21111898112","21111898112","21111898112"
"60151.860773","21111898112","21111898112","21111898112"
"60181.861315","21111898112","21111898112","21111898112"
"60211.862067","21111898112","21111898112","21111898112"
"60241.862881","21111898112","21111898112","21111898112"
"60271.863623","21111898112","21111898112","21111898112"
"60301.864415","21111898112","21111898112","21111898112"
"60331.865145","21111898112","21111898112","21111898112"
"60361.866133","21111898112","21111898112","21111898112"
"60391.86676","21111898112","21111898112","21111898112"
"60421.867251","21111898112","21111898112","21111898112"
"60451.86798","21111898112","21111898112","21111898112"
"60481.868834","21111898112","21111898112","21111898112"
"60511.869556","21111898112","21111898112","21111898112"
"60541.870481","21111898112","21111898112","21111898112"
"60571.871193","21111898112","21111898112","21111898112"
"60601.87189","21111898112","21111898112","21111898112"
"60631.872789","21111898112","21111898112","21111898112"
"60661.873741","21111898112","21111898112","21111898112"
"60691.874551","21111898112","21111898112","21111898112"
"60721.875078","21111898112","21111898112","21111898112"
"60751.875567","21111898112","21111898112","21111898112"
"60781.876021","21111898112","21111898112","21111898112"
"60811.876505","21111898112","21111898112","21111898112"
"60841.876957","21111898112","21111898112","21111898112"
"60871.877509","21111898112","21111898112","21111898112"
"60901.878173","21111898112","21111898112","21111898112"
"60931.878668","21111898112","21111898112","21111898112"
"60961.879148","21111898112","21111898112","21111898112"
"60991.87965","21111898112","21111898112","21111898112"
"61021.880261","21111898112","21111898112","21111898112"
"61051.880808","21111898112","21111898112","21111898112"
"61081.881527","21111898112","21111898112","21111898112"
"61111.882348","21111898112","21111898112","21111898112"
"61141.883218","21111898112","21111898112","21111898112"
"61171.884136","21111898112","21111898112","21111898112"
"61201.884749","21111898112","21111898112","21111898112"
"61231.885222","21111898112","21111898112","21111898112"
"61261.886077","21111898112","21111898112","21111898112"
"61291.886816","21111898112","21111898112","21111898112"
"61321.887358","21111898112","21111898112","21111898112"
"61351.888138","21111898112","21111898112","21111898112"
"61381.889335","21111898112","21111898112","21111898112"
"61411.890144","21111898112","21111898112","21111898112"
"61441.890798","21111898112","21111898112","21111898112"
"61471.891456","21111898112","21111898112","21111898112"
"61501.892013","21111898112","21111898112","21111898112"
"61531.892899","21111898112","21111898112","21111898112"
"61561.893633","21111898112","21111898112","21111898112"
"61591.894356","21111898112","21111898112","21111898112"
"61621.895099","21111898112","21111898112","21111898112"
"61651.895716","21111898112","21111898112","21111898112"
"61681.896284","21111898112","21111898112","21111898112"
"61711.897136","21111898112","21111898112","21111898112"
"61741.897853","21111898112","21111898112","21111898112"
"61771.898697","21111898112","21111898112","21111898112"
"61801.899265","21111898112","21111898112","21111898112"
"61831.90009","21111898112","21111898112","21111898112"
"61861.900846","21111898112","21111898112","21111898112"
"61891.901717","21111898112","21111898112","21111898112"
"61921.902442","21111898112","21111898112","21111898112"
"61951.902933","21111898112","21111898112","21111898112"
"61981.903443","21111898112","21111898112","21111898112"
"62011.904109","21111898112","21111898112","21111898112"
"62041.905057","21111898112","21111898112","21111898112"
"62071.905757","21111898112","21111898112","21111898112"
"62101.906589","21111898112","21111898112","21111898112"
"62131.907441","21111898112","21111898112","21111898112"
"62161.908206","21111898112","21111898112","21111898112"
"62191.909475","21111898112","21111898112","21111898112"
"62221.9102","21111898112","21111898112","21111898112"
"62251.910754","21111898112","21111898112","21111898112"
"62281.911404","21111898112","21111898112","21111898112"
"62311.912139","21111898112","21111898112","21111898112"
"62341.912986","21111898112","21111898112","21111898112"
"62371.913578","21111898112","21111898112","21111898112"
"62401.914387","21111898112","21111898112","21111898112"
"62431.915133","21111898112","21111898112","21111898112"
"62461.916118","21111898112","21111898112","21111898112"
"62491.916935","21111898112","21111898112","21111898112"
"62521.917693","21111898112","21111898112","21111898112"
"62551.91843","21111898112","21111898112","21111898112"
"62581.919238","21111898112","21111898112","21111898112"
"62611.919952","21111898112","21111898112","21111898112"
"62641.920764","21111898112","21111898112","21111898112"
