"Step","experiment-balanced-data - epoch","experiment-balanced-data - epoch__MIN","experiment-balanced-data - epoch__MAX","experiment-human-data - epoch","experiment-human-data - epoch__MIN","experiment-human-data - epoch__MAX"
"8161","2","2","2","","",""
"8162","","","","2","2","2"
"8189","2","2","2","","",""
"8207","2","2","2","","",""
"8213","","","","2","2","2"
"8222","2","2","2","","",""
"8224","2","2","2","","",""
"8231","2","2","2","","",""
"8235","","","","2","2","2"
"8246","","","","2","2","2"
"8261","2","2","2","","",""
"8273","2","2","2","","",""
"8276","","","","2","2","2"
"8277","2","2","2","","",""
"8284","","","","2","2","2"
"8297","2","2","2","","",""
"8306","2","2","2","","",""
"8308","2","2","2","","",""
"8312","2","2","2","","",""
"8315","","","","2","2","2"
"8338","","","","2","2","2"
"8339","2","2","2","","",""
"8351","2","2","2","","",""
"8363","2","2","2","","",""
"8373","2","2","2","","",""
"8387","2","2","2","","",""
"8396","","","","2","2","2"
"8406","2","2","2","","",""
"8410","2","2","2","","",""
"8417","2","2","2","","",""
"8418","2","2","2","","",""
"8430","2","2","2","","",""
"8433","","","","2","2","2"
"8435","","","","2","2","2"
"8443","2","2","2","","",""
"8444","","","","2","2","2"
"8452","2","2","2","","",""
"8453","2","2","2","","",""
"8456","2","2","2","","",""
"8473","","","","2","2","2"
"8478","2","2","2","","",""
"8488","2","2","2","","",""
"8498","","","","2","2","2"
"8502","","","","2","2","2"
"8523","2","2","2","","",""
"8532","2","2","2","","",""
"8562","","","","2","2","2"
"8570","2","2","2","","",""
"8581","","","","2","2","2"
"8588","","","","2","2","2"
"8591","2","2","2","","",""
"8614","","","","2","2","2"
"8632","","","","2","2","2"
"8646","2","2","2","","",""
"8649","","","","2","2","2"
"8654","2","2","2","","",""
